spesso;dik
pesante;zwaar
largo;breed
corto;kort
sottile;dun
pidocchio;luis
selva;bos
bosco;bos
forresta;bos
bastone;stok
foglia;blaadje
corteccia;schors
corda;touw
coda;staart
lingua;tong
unghia;nagel
ala;vleugel
intestino;ingewanden
schiena;rug
petto;borst
mammela;borst
fegato;lever
succhiare;zuigen
fendere;splitsen
pungalare;steken
uccidere;doden
combattere;vechten
tagliare;snijden, knippen
graffiare;krassen, krabbelen
scavare;graven
giacere;liggen
stare in piedi;staan
girare;omdraaien, wenden
spremere;uitpersen
strofinare;wrijven
asciugare;droog vegen
tirare;trekken
spingere;duwen
lanciare;gooien
legare;verbinden, vast maken
cucire;naaien
gallegiare;drijven
fluire;vloeien
gelare;vriezen
gonfiarsi;opzwellen
nuvola;wolk
nebbia;mist
ceneri;as
bruciare;verbranden
marcio;verrot
aguzzo;scherp
affilato;scherp
smussato;bot (mes)
bagnato;nat
